PLAYER_NAME,OPPONENT_MIN,OPPONENT_FGM,OPPONENT_FGA,OPPONENT_FG3M,OPPONENT_FG3A,OPPONENT_FTM,OPPONENT_FTA,OPPONENT_OREB,OPPONENT_DREB,OPPONENT_REB,OPPONENT_AST,OPPONENT_STL,OPPONENT_BLK,OPPONENT_TOV,OPPONENT_PF,OPPONENT_PFD,OPPONENT_PTS,OPPONENT_PLUS_MINUS
Jalen Johnson,48.1219512195122,41.28048780487805,88.6829268292683,13.207317073170731,35.80487804878049,17.024390243902438,21.817073170731707,12.670731707317072,32.5,45.170731707317074,24.365853658536587,7.463414634146342,4.097560975609756,13.231707317073171,17.646341463414632,19.085365853658537,112.79268292682927,4.585365853658536
Clint Capela,48.1219512195122,41.28048780487805,88.6829268292683,13.207317073170731,35.80487804878049,17.024390243902438,21.817073170731707,12.670731707317072,32.5,45.170731707317074,24.365853658536587,7.463414634146342,4.097560975609756,13.231707317073171,17.646341463414632,19.085365853658537,112.79268292682927,4.585365853658536
Bogdan Bogdanović,48.1219512195122,41.28048780487805,88.6829268292683,13.207317073170731,35.80487804878049,17.024390243902438,21.817073170731707,12.670731707317072,32.5,45.170731707317074,24.365853658536587,7.463414634146342,4.097560975609756,13.231707317073171,17.646341463414632,19.085365853658537,112.79268292682927,4.585365853658536
Dejounte Murray,48.1219512195122,41.28048780487805,88.6829268292683,13.207317073170731,35.80487804878049,17.024390243902438,21.817073170731707,12.670731707317072,32.5,45.170731707317074,24.365853658536587,7.463414634146342,4.097560975609756,13.231707317073171,17.646341463414632,19.085365853658537,112.79268292682927,4.585365853658536
Brandon Ingram,48.30487804878049,42.26829268292683,89.70731707317073,11.487804878048781,33.073170731707314,16.329268292682926,21.609756097560975,10.865853658536585,31.79268292682927,42.65853658536585,28.475609756097562,7.7317073170731705,4.7317073170731705,13.987804878048781,18.402439024390244,18.134146341463413,112.35365853658537,-6.439024390243903
Zion Williamson,48.30487804878049,42.26829268292683,89.70731707317073,11.487804878048781,33.073170731707314,16.329268292682926,21.609756097560975,10.865853658536585,31.79268292682927,42.65853658536585,28.475609756097562,7.7317073170731705,4.7317073170731705,13.987804878048781,18.402439024390244,18.134146341463413,112.35365853658537,-6.439024390243903
Jonas Valančiūnas,48.30487804878049,42.26829268292683,89.70731707317073,11.487804878048781,33.073170731707314,16.329268292682926,21.609756097560975,10.865853658536585,31.79268292682927,42.65853658536585,28.475609756097562,7.7317073170731705,4.7317073170731705,13.987804878048781,18.402439024390244,18.134146341463413,112.35365853658537,-6.439024390243903
Herbert Jones,48.30487804878049,42.26829268292683,89.70731707317073,11.487804878048781,33.073170731707314,16.329268292682926,21.609756097560975,10.865853658536585,31.79268292682927,42.65853658536585,28.475609756097562,7.7317073170731705,4.7317073170731705,13.987804878048781,18.402439024390244,18.134146341463413,112.35365853658537,-6.439024390243903
CJ McCollum,48.30487804878049,42.26829268292683,89.70731707317073,11.487804878048781,33.073170731707314,16.329268292682926,21.609756097560975,10.865853658536585,31.79268292682927,42.65853658536585,28.475609756097562,7.7317073170731705,4.7317073170731705,13.987804878048781,18.402439024390244,18.134146341463413,112.35365853658537,-6.439024390243903
Julian Champagnie,48.426829268292686,41.76829268292683,90.96341463414635,12.71951219512195,36.146341463414636,18.073170731707318,23.365853658536587,11.463414634146341,33.98780487804878,45.451219512195124,24.817073170731707,7.7926829268292686,4.573170731707317,12.74390243902439,20.75609756097561,19.621951219512194,114.32926829268293,1.1219512195121952
Jeremy Sochan,48.426829268292686,41.76829268292683,90.96341463414635,12.71951219512195,36.146341463414636,18.073170731707318,23.365853658536587,11.463414634146341,33.98780487804878,45.451219512195124,24.817073170731707,7.7926829268292686,4.573170731707317,12.74390243902439,20.75609756097561,19.621951219512194,114.32926829268293,1.1219512195121952
